Страна,Код страны,Код города,Город
Армения,374,23,Bjni
Армения,374,37,Hoktember
Армения,374,96,Infocom Telephone Network
Армения,374,84,Khndzoresk
Армения,374,940,Mobile GSM
Армения,374,941,Mobile GSM
Армения,374,24,Proshyan
Армения,374,84,Verishen
Армения,374,31,Zvartnots
Армения,374,22,Абовян // Abovian
Армения,374,53,Алаверди // Alaverdi
Армения,374,23,Алапарс // Alapars
Армения,374,460,Амасия (Ширак) // Amasia
Армения,374,42,Ани (ст.) (Ширак) // Ani station
Армения,374,520,Апаран // Aparan
Армения,374,4300,Арапи (Ширак) // Arapi
Армения,374,38,Арарат // Ararat
Армения,374,24,Аргел // Argel
Армения,374,37,Армавир // Armavir
Армения,374,35,Арташат (Арарат) // Artashat
Армения,374,44,Артик (Ширак) // Artik
Армения,374,4300,Ахурян (Ширак) // Akhurian
Армения,374,45,Ашотск (Ширак) // Ashotsk
Армения,374,32,Аштарак // Ashtarak
Армения,374,33,Баграмян (Армавир) // Baghramian
Армения,374,67,Берд // Berd
Армения,374,51,Ваагни (с.) // Vahagni
Армения,374,82,Вайк // Vayk
Армения,374,51,Ванадзор // Vanadzor
Армения,374,69,Варденис (Гегхаркуник) // Vardenis
Армения,374,34,Веди (Арарат) // Vedi
Армения,374,64,Гавар (Гегхаркуник) // Gavar
Армения,374,84,Горис // Goris
Армения,374,41,Гюмри (Ширак) // Gyumri
Армения,374,33,Даларик (Армавир) // Dalarik
Армения,374,87,Джермук // Jermuk
Армения,374,51,Дзорагет (с.) // Dzoraget
Армения,374,680,Дилижан // Dilijan
Армения,374,24,Егвард // Eghvard
Армения,374,51,Егегнут (с.) // Eghegnut
Армения,374,1,Ереван // Yerevan
Армения,374,81,Ехегнадзор // Yeghegnadzor
Армения,374,24,Зовуни (с.) // Zovuni
Армения,374,23,Золак (с.) // Solak
Армения,374,63,Иджеван // Ijevan
Армения,374,85,Каджаран // Kajaran
Армения,374,64,Камо (Гегхаркуник) // Kamo
Армения,374,4300,Камо (Ширак) // Kamo
Армения,374,85,Капан // Kapan
Армения,374,33,Каракерд (Армавир) // Karakerd
Армения,374,66,Кохб (с.) // Koghb
Армения,374,51,Лермонтов (с.) // Lermontov
Армения,374,42,Маралик (Ширак) // Maralik
Армения,374,51,Маргаовит (с.) // Margahovit
Армения,374,62,Мартуни (Гегхаркуник) // Martuni
Армения,374,36,Масис (Арарат) // Masis
Армения,374,23,Меградзор (с.) // Meghradzor
Армения,374,860,Мегри // Meghri
Армения,374,37,Мецамор (п.) (Армавир) // Metsamor
Армения,374,33,Мясникян (с.) // Miasnikian
Армения,374,66,Ноемберян // Noyemberian
Армения,374,24,Нор-Ачн (с.) // Nor Hajn
Армения,374,24,Нор-Гехи (с.) // Nor Gekhi
Армения,374,51,Памбак (с.) // Pambak
Армения,374,44,Пемзашен (п.) (Ширак) // Pemzashen
Армения,374,22,Птгни (п.) // Ptghni
Армения,374,23,Пюник (с.) // Piunik
Армения,374,23,Раздан // Hrazdan
Армения,374,42,Сарахпюр (с.) (Ширак) // Sarnakhpyur
Армения,374,64,Сарухан (с.) (Гегхаркуник) // Sarukhan
Армения,374,61,Севан (Гегхаркуник) // Sevan
Армения,374,830,Сисиан // Sisian
Армения,374,550,Спитак // Spitak
Армения,374,56,Степанаван // Stepanavan
Армения,374,490,Талин // Talin
Армения,374,54,Ташир // Tashir
Армения,374,23,Цахкадзор // Tsakhkadzor
Армения,374,570,Цахкаовит // Tsaghkahovit
Армения,374,65,Чамбарак (Гегхаркуник) // Chambarak
Армения,374,26,Чаренцаван // Charentsavan
Армения,374,42,Ширакаван (с.) (Ширак) // Shirakavan
Армения,374,31,Эчмиадзин (Армавир) // Echmiadzin
Азербайджан,994,192,Агдам // Agdam
Азербайджан,994,193,Агдаш // Agdash
Азербайджан,994,113,Агджабеди // Agjabadi
Азербайджан,994,140,Аджикабул // Hajigabul
Азербайджан,994,244,Акстафа // Agstafa
Азербайджан,994,197,Али-Байрамлы // Ali Bayramli
Азербайджан,994,195,Астара // Astara
Азербайджан,994,198,Ахсу // Akhsu
Азербайджан,994,12,Баку // Baku
Азербайджан,994,110,Барда // Barda
Азербайджан,994,152,Бейлаган // Beylagan
Азербайджан,994,119,Белокань // Belaken
Азербайджан,994,159,Биласувар // Bilasuvar
Азербайджан,994,160,Габала // Gabala
Азербайджан,994,167,Геокчай // Goychay
Азербайджан,994,234,Геранбой // Geranboy
Азербайджан,994,150,Гобустан // Gobustan
Азербайджан,994,22,Гянджа // Ganja
Азербайджан,994,216,Дашкесан // Dashkasan
Азербайджан,994,114,Джалилабад // Jalilabad
Азербайджан,994,115,Дивичи // Davachi
Азербайджан,994,166,Евлах // Yevlakh
Азербайджан,994,174,Закаталы // Zagatala
Азербайджан,994,135,Зардоб // Zardab
Азербайджан,994,154,Имишли // Imishli
Азербайджан,994,178,Исмайллы // Ismayilli
Азербайджан,994,279,Казах // Gazakh
Азербайджан,994,144,Кахи // Gakh
Азербайджан,994,232,Кедабек
Азербайджан,994,266,Кельбаджары // Kalbajar
Азербайджан,994,169,Куба // Guba
Азербайджан,994,138,Кусары // Gusar
Азербайджан,994,145,Кюрдамир // Kurdamir
Азербайджан,994,146,Лачин // Lachin
Азербайджан,994,171,Ленкорань // Lankaran
Азербайджан,994,157,Лерик // Lerik
Азербайджан,994,151,Масаллы // Masalli
Азербайджан,994,147,Мингечаур // Mingachevir
Азербайджан,994,255,Нафталан // Naftalan
Азербайджан,994,136,Нахичевань // Nakhichevan
Азербайджан,994,153,Нефтечала // Neftechala
Азербайджан,994,111,Огуз // Oguz
Азербайджан,994,168,Саатлы // Saatli
Азербайджан,994,143,Сабирабад // Sabirabad
Азербайджан,994,163,Сальяны // Salyan
Азербайджан,994,265,Самух // Samukh
Азербайджан,994,190,Сиазань // Siyazan
Азербайджан,994,164,Сумгаит // Sumgayit
Азербайджан,994,231,Тауз // Tovuz
Азербайджан,994,246,Тер-Тер // Tar - Tar
Азербайджан,994,170,Уджары // Ujar
Азербайджан,994,141,Физули // Fizuli
Азербайджан,994,162,Ханкенди // Khankendi
Азербайджан,994,230,Ханлар // Khanlar
Азербайджан,994,172,Хачмас // Khachmaz
Азербайджан,994,199,Хызы // Khizi
Азербайджан,994,241,Шамкир // Shamkir
Азербайджан,994,177,Шеки // Shaki
Азербайджан,994,176,Шемаха // Shamakha
Азербайджан,994,191,Шуша // Shusha
Азербайджан,994,175,Ярдымлы // Yardimli
Беларусь,375,163,Барановичи (Брестская обл.)
Беларусь,375,2232,Белыничи (Могилевская обл.)
Беларусь,375,1643,Береза (Брестская обл.)
Беларусь,375,1715,Березино (Минская обл.)
Беларусь,375,1511,Берестовица (Гродн обл.)
Беларусь,375,2131,Бешенковичи (Витебская обл.)
Беларусь,375,2251,Бобруйск (Могилевская обл.)
Беларусь,375,225,Бобруйск (Могилевская обл.)
Беларусь,375,177,Борисов (Минская обл.)
Беларусь,375,2344,Брагин (Гомельская обл.)
Беларусь,375,2153,Браслав (Витебская обл.)
Беларусь,375,162,Брест
Беларусь,375,2336,Буда Кошелево (Гомельская обл.)
Беларусь,375,2231,Быхов (Могилевская обл.)
Беларусь,375,2151,Верхнедвинск (Витебская обл.)
Беларусь,375,2330,Ветка (Гомельская обл.)
Беларусь,375,1771,Вилейка (Минская обл.)
Беларусь,375,212,Витебск
Беларусь,375,1512,Волковыск (Гродненская обл.)
Беларусь,375,1772,Воложин (Минская обл.)
Беларусь,375,1594,Вороново (Гродненская обл.)
Беларусь,375,1646,Ганцевичи (Брестская обл.)
Беларусь,375,2156,Глубокое (Витебская обл.)
Беларусь,375,2230,Глузск (Могилевская обл.)
Беларусь,375,232,Гомель
Беларусь,375,2233,Горки (Могилевская обл.)
