Город,Номера,Оператор,Телефонный код,Код страны
Москва,495301xxxx,ПАО МГТС,495,+7
Москва,499301xxxx,ПАО МГТС,499,+7
Москва,495302xxxx,ПАО МГТС,495,+7
Москва,499302xxxx,ПАО МГТС,499,+7
Москва,495303xxxx,ПАО МГТС,495,+7
Москва,499303xxxx,ПАО МГТС,499,+7
Москва,495304xxxx,ПАО МГТС,495,+7
Москва,499304xxxx,ПАО МГТС,499,+7
Москва,495305xxxx,ПАО МГТС,495,+7
Москва,499305xxxx,ПАО МГТС,499,+7
Москва,4953060xxx,ПАО МГТС,495,+7
Москва,4993060xxx,ПАО МГТС,499,+7
Москва,4953061xxx,ПАО МГТС,495,+7
Москва,4993061xxx,ПАО МГТС,499,+7
Москва,4953062xxx,ПАО МГТС,495,+7
Москва,4993062xxx,ПАО МГТС,499,+7
Москва,4953063xxx,ПАО МГТС,495,+7
Москва,4993063xxx,ПАО МГТС,499,+7
Москва,4953064xxx,ПАО МГТС,495,+7
Москва,4993064xxx,ПАО МГТС,499,+7
Москва,49545188xx,ПАО МГТС,495,+7
Москва,49945188xx,ПАО МГТС,499,+7
Москва,49545189xx,ПАО МГТС,495,+7
Москва,49945189xx,ПАО МГТС,499,+7
Москва,4954519xxx,ПАО МГТС,495,+7
Москва,4994519xxx,ПАО МГТС,499,+7
Москва,495452xxxx,ПАО МГТС,495,+7
Москва,499452xxxx,ПАО МГТС,499,+7
Москва,495453xxxx,ПАО МГТС,495,+7
Москва,499453xxxx,ПАО МГТС,499,+7
Москва,495454xxxx,ПАО МГТС,495,+7
Москва,499454xxxx,ПАО МГТС,499,+7
Москва,495455xxxx,ПАО МГТС,495,+7
Москва,499455xxxx,ПАО МГТС,499,+7
Москва,495456xxxx,ПАО МГТС,495,+7
Москва,499456xxxx,ПАО МГТС,499,+7
Москва,495457xxxx,ПАО МГТС,495,+7
Москва,499457xxxx,ПАО МГТС,499,+7
Москва,495458xxxx,ПАО МГТС,495,+7
Москва,499458xxxx,ПАО МГТС,499,+7
Москва,49545900xx,ПАО МГТС,495,+7
Москва,49945900xx,ПАО МГТС,499,+7
Москва,49545901xx,ПАО МГТС,495,+7
Москва,49945901xx,ПАО МГТС,499,+7
Москва,49545902xx,ПАО МГТС,495,+7
Москва,49945902xx,ПАО МГТС,499,+7
Москва,49545903xx,ПАО МГТС,495,+7
Москва,49945903xx,ПАО МГТС,499,+7
Москва,49545904xx,ПАО МГТС,495,+7
Москва,49945904xx,ПАО МГТС,499,+7
Москва,49545905xx,ПАО МГТС,495,+7
Москва,49945905xx,ПАО МГТС,499,+7
Москва,495520xxxx,Ростелеком,495,+7
Москва,499520xxxx,Ростелеком,499,+7
Москва,495521xxxx,Ростелеком,495,+7
Москва,499521xxxx,Ростелеком,499,+7
Москва,495522xxxx,Ростелеком,495,+7
Москва,499522xxxx,Ростелеком,499,+7
Москва,495523xxxx,Ростелеком,495,+7
Москва,499523xxxx,Ростелеком,499,+7
Москва,495524xxxx,Ростелеком,495,+7
Москва,499524xxxx,Ростелеком,499,+7
Москва,495525xxxx,Ростелеком,495,+7
Москва,499525xxxx,Ростелеком,499,+7
Москва,4955260xxx,Ростелеком,495,+7
Москва,4995260xxx,Ростелеком,499,+7
Москва,4955261xxx,Ростелеком,495,+7
Москва,4995261xxx,Ростелеком,499,+7
Москва,495565537x,Ростелеком,495,+7
Москва,499565537x,Ростелеком,499,+7
Москва,495565538x,Ростелеком,495,+7
