Город,Номера,Оператор,Телефонный код,Код страны
Акимовка  (Запорожская обл.),61316131,None,6131,+380
Александрия  (Кировоградская обл.),52355235,None,5235,+380
Александровка  (Донецкая обл.),62696269,None,6269,+380
Александровка  (Кировоградская обл.),52425242,None,5242,+380
Алчевск  (Луганская обл.),64426442,None,6442,+380
Амвросиевка  (Донецкая обл.),62596259,None,6259,+380
Ананьев  (Одесская обл.),48634863,None,4863,+380
Андреевка  (Запорожская обл.),61536153,None,6153,+380
Андрушевка  (Житомирская обл.),41364136,None,4136,+380
Антрацит  (Луганская обл.),64316431,None,6431,+380
Апостолово  (Днепропетровская обл.),56565656,None,5656,+380
Арбузинка  (Николаевская обл.),51325132,None,5132,+380
Артемовск  (Донецкая обл.),627627,None,627,+380
Артемовск  (Донецкая обл.),62746274,None,6274,+380
Арциз  (Одесская обл.),48454845,None,4845,+380
Ахтырка  (Сумская обл.),54465446,None,5446,+380
Балаклея  (Харьковская обл.),57495749,None,5749,+380
Балта  (Одесская обл.),48664866,None,4866,+380
Бар  (Винницкая обл.),43414341,None,4341,+380
Барановка  (Житомирская обл.),41444144,None,4144,+380
Барвенково  (Харьковская обл.),57575757,None,5757,+380
Барышевка  (Киевская обл.),45764576,None,4576,+380
Бахмач  (Черниговская обл.),46354635,None,4635,+380
Баштанка  (Николаевская обл.),51585158,None,5158,+380
Белая Крыница  (Житомирская обл.),41324132,None,4132,+380
Белая Церковь  (Киевская обл.),456456,None,456,+380
Беловодск  (Луганская обл.),64666466,None,6466,+380
Белозерка  (Херсонская обл.),55475547,None,5547,+380
Белокуракино  (Луганская обл.),64626462,None,6462,+380
Белополье  (Сумская обл.),54435443,None,5443,+380
Беляевка  (Одесская обл.),48524852,None,4852,+380
Бердичев  (Житомирская обл.),41434143,None,4143,+380
Берегово  (Закарпатская обл.),31413141,None,3141,+380
Бережаны  (Тернопольская обл.),35483548,None,3548,+380
Березанка  (Николаевская обл.),51535153,None,5153,+380
Березнеговатое  (Николаевская обл.),51685168,None,5168,+380
Березно  (Ровенская обл.),36533653,None,3653,+380
Березовка  (Одесская обл.),48564856,None,4856,+380
Берислав  (Херсонская обл.),55465546,None,5546,+380
Бершадь  (Винницкая обл.),43524352,None,4352,+380
Близнюки  (Харьковская обл.),57545754,None,5754,+380
Бобринец  (Кировоградская обл.),52575257,None,5257,+380
Бобровица  (Черниговская обл.),46324632,None,4632,+380
Богодухов  (Харьковская обл.),57585758,None,5758,+380
Богородчаны  (Ивано-Франковская обл.),34713471,None,3471,+380
Богуслав  (Киевская обл.),45614561,None,4561,+380
Болград  (Одесская обл.),48464846,None,4846,+380
Болехов  (Ивано-Франковская обл.),34373437,None,3437,+380
Борзна  (Черниговская обл.),46534653,None,4653,+380
Борислав  (Львовская обл.),32483248,None,3248,+380
Борисполь  (Киевская обл.),45954595,None,4595,+380
Боровая  (Харьковская обл.),57595759,None,5759,+380
Борщев  (Тернопольская обл.),35413541,None,3541,+380
Братское  (Николаевская обл.),51315131,None,5131,+380
Брацлав  (Винницкая обл.),43314331,None,4331,+380
Броды  (Львовская обл.),32663266,None,3266,+380
Броницка  (Житомирская обл.),41414141,None,4141,+380
Брусилов  (Житомирская обл.),41624162,None,4162,+380
Брянка  (Луганская обл.),64436443,None,6443,+380
Бурштын  (Ивано-Франковская обл.),34383438,None,3438,+380
Бурынь  (Сумская обл.),54545454,None,5454,+380
Буск  (Львовская обл.),32643264,None,3264,+380
Бучач  (Тернопольская обл.),35443544,None,3544,+380
